Match id,Date,Location,Home Team,Away Team,First batting,Second batting,URL
1456,2024-05-26 19:30,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,SRH,KKR,https://www.iplt20.com/match/2024/1456
1455,2024-05-24 19:30,Chennai,Sunrisers Hyderabad,Rajasthan Royals,SRH,RR,https://www.iplt20.com/match/2024/1455
1454,2024-05-22 19:30,Ahmedabad,Rajasthan Royals,Royal Challengers Bengaluru,RCB,RR,https://www.iplt20.com/match/2024/1454
1453,2024-05-21 19:30,Ahmedabad,Kolkata Knight Riders,Sunrisers Hyderabad,SRH,KKR,https://www.iplt20.com/match/2024/1453
1452,2024-05-19 19:30,Guwahati,Rajasthan Royals,Kolkata Knight Riders,RR,KKR,https://www.iplt20.com/match/2024/1452
1451,2024-05-19 15:30,Hyderabad,Sunrisers Hyderabad,Punjab Kings,PBKS,SRH,https://www.iplt20.com/match/2024/1451
1450,2024-05-18 19:30,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,RCB,CSK,https://www.iplt20.com/match/2024/1450
1449,2024-05-17 19:30,Mumbai,Mumbai Indians,Lucknow Super Giants,LSG,MI,https://www.iplt20.com/match/2024/1449
1448,2024-05-16 19:30,Hyderabad,Sunrisers Hyderabad,Gujarat Titans,GT,SRH,https://www.iplt20.com/match/2024/1448
1447,2024-05-15 19:30,Guwahati,Rajasthan Royals,Punjab Kings,RR,PBKS,https://www.iplt20.com/match/2024/1447
1446,2024-05-14 19:30,Delhi,Delhi Capitals,Lucknow Super Giants,DC,LSG,https://www.iplt20.com/match/2024/1446
1445,2024-05-13 19:30,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,KKR,GT,https://www.iplt20.com/match/2024/1445
1444,2024-05-12 19:30,Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,RCB,DC,https://www.iplt20.com/match/2024/1444
1443,2024-05-12 15:30,Chennai,Chennai Super Kings,Rajasthan Royals,RR,CSK,https://www.iplt20.com/match/2024/1443
1442,2024-05-11 19:30,Kolkata,Kolkata Knight Riders,Mumbai Indians,KKR,MI,https://www.iplt20.com/match/2024/1442
1441,2024-05-10 19:30,Ahmedabad,Gujarat Titans,Chennai Super Kings,GT,CSK,https://www.iplt20.com/match/2024/1441
1440,2024-05-09 19:30,Dharamsala,Punjab Kings,Royal Challengers Bengaluru,RCB,PBKS,https://www.iplt20.com/match/2024/1440
1439,2024-05-08 19:30,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,LSG,SRH,https://www.iplt20.com/match/2024/1439
1438,2024-05-07 19:30,Delhi,Delhi Capitals,Rajasthan Royals,DC,RR,https://www.iplt20.com/match/2024/1438
1437,2024-05-06 19:30,Mumbai,Mumbai Indians,Sunrisers Hyderabad,SRH,MI,https://www.iplt20.com/match/2024/1437
1436,2024-05-05 19:30,Lucknow,Lucknow Super Giants,Kolkata Knight Riders,KKR,LSG,https://www.iplt20.com/match/2024/1436
1435,2024-05-05 15:30,Dharamsala,Punjab Kings,Chennai Super Kings,CSK,PBKS,https://www.iplt20.com/match/2024/1435
1434,2024-05-04 19:30,Bengaluru,Royal Challengers Bengaluru,Gujarat Titans,GT,RCB,https://www.iplt20.com/match/2024/1434
1433,2024-05-03 19:30,Mumbai,Mumbai Indians,Kolkata Knight Riders,KKR,MI,https://www.iplt20.com/match/2024/1433
